,type,event,start,end,satellite,lon,lat,poly,ID,l0_files,l1c_files
10,non_eruption,Chillan_Nevados_de_00,2018-05-19 00:00:00,2018-05-19 23:59:59,S2B,-71.3775708465582,-36.866830967622846,"POLYGON((-71.43373804334 -36.99297073392552,-71.43355365944993 -36.74066206203433,-71.32158803366647 -36.74066206203433,-71.3214036497764 -36.99297073392552,-71.43373804334 -36.99297073392552))",10,"['S2B_OPER_MSI_L0__GR_EPAE_20180519T192219_S20180519T145258_D10_N02.06.tar', 'S2B_OPER_MSI_L0__GR_EPAE_20180519T192219_S20180519T145302_D10_N02.06.tar', 'S2B_OPER_MSI_L0__GR_EPAE_20180519T192219_S20180519T145305_D09_N02.06.tar', 'S2B_OPER_MSI_L0__GR_EPAE_20180519T192219_S20180519T145305_D10_N02.06.tar', 'S2B_OPER_MSI_L0__GR_EPAE_20180519T192219_S20180519T145309_D09_N02.06.tar']",['S2B_MSIL1C_20180519T143749_N0206_R096_T19HBV_20180519T193224']
11,eruption,Chillan_Nevados_de_00,2020-07-04 00:00:00,2020-07-04 23:59:59,S2B,-71.3775708465582,-36.866830967622846,"POLYGON((-71.43373804334 -36.99297073392552,-71.43355365944993 -36.74066206203433,-71.32158803366647 -36.74066206203433,-71.3214036497764 -36.99297073392552,-71.43373804334 -36.99297073392552))",11,"['S2B_OPER_MSI_L0__GR_EPAE_20180519T192219_S20180519T145258_D10_N02.06.tar', 'S2B_OPER_MSI_L0__GR_EPAE_20180519T192219_S20180519T145302_D10_N02.06.tar', 'S2B_OPER_MSI_L0__GR_EPAE_20180519T192219_S20180519T145305_D09_N02.06.tar', 'S2B_OPER_MSI_L0__GR_EPAE_20180519T192219_S20180519T145305_D10_N02.06.tar', 'S2B_OPER_MSI_L0__GR_EPAE_20180519T192219_S20180519T145309_D09_N02.06.tar']",['S2B_MSIL1C_20200704T142739_N0209_R053_T19HBV_20200704T174856']
12,non_eruption,Chillan_Nevados_de_01,2020-01-19 00:00:00,2020-01-19 23:59:59,S2B,-71.37834332275449,-36.86703696926632,"POLYGON((-71.43451067101935 -36.99317673108461,-71.43432628525522 -36.74086806795974,-71.32236036025375 -36.74086806795975,-71.32217597448962 -36.99317673108461,-71.43451067101935 -36.99317673108461))",12,"['S2B_OPER_MSI_L0__GR_SGS__20200119T174535_S20200119T145254_D10_N02.08.tar', 'S2B_OPER_MSI_L0__GR_SGS__20200119T174535_S20200119T145257_D10_N02.08.tar', 'S2B_OPER_MSI_L0__GR_SGS__20200119T174535_S20200119T145301_D09_N02.08.tar', 'S2B_OPER_MSI_L0__GR_SGS__20200119T174535_S20200119T145301_D10_N02.08.tar', 'S2B_OPER_MSI_L0__GR_SGS__20200119T174535_S20200119T145304_D09_N02.08.tar', 'S2B_OPER_MSI_L0__GR_SGS__20200119T174535_S20200119T145308_D09_N02.08.tar']",['S2B_MSIL1C_20200119T143659_N0208_R096_T19HBV_20200119T180026']
13,eruption,Chillan_Nevados_de_01,2021-05-25 00:00:00,2021-05-25 23:59:59,S2A,-71.37834332275449,-36.86703696926632,"POLYGON((-71.43451067101935 -36.99317673108461,-71.43432628525522 -36.74086806795974,-71.32236036025375 -36.74086806795975,-71.32217597448962 -36.99317673108461,-71.43451067101935 -36.99317673108461))",13,"['S2B_OPER_MSI_L0__GR_SGS__20200119T174535_S20200119T145254_D10_N02.08.tar', 'S2B_OPER_MSI_L0__GR_SGS__20200119T174535_S20200119T145257_D10_N02.08.tar', 'S2B_OPER_MSI_L0__GR_SGS__20200119T174535_S20200119T145301_D09_N02.08.tar', 'S2B_OPER_MSI_L0__GR_SGS__20200119T174535_S20200119T145301_D10_N02.08.tar', 'S2B_OPER_MSI_L0__GR_SGS__20200119T174535_S20200119T145304_D09_N02.08.tar', 'S2B_OPER_MSI_L0__GR_SGS__20200119T174535_S20200119T145308_D09_N02.08.tar']",['S2A_MSIL1C_20210525T142731_N0300_R053_T19HBV_20210525T175151']
14,eruption,Chillan_Nevados_de_02,2021-07-29 00:00:00,2021-07-29 23:59:59,S2B,-71.37834332275449,-36.866212959359814,"POLYGON((-71.43451006509395 -36.9923527391157,-71.43432568682591 -36.74004404092545,-71.32236095868306 -36.74004404092545,-71.32217658041503 -36.9923527391157,-71.43451006509395 -36.9923527391157))",14,"['S2A_OPER_MSI_L0__GR_VGS2_20201129T180308_S20201129T145301_D10_N02.09.tar', 'S2A_OPER_MSI_L0__GR_VGS2_20201129T180308_S20201129T145305_D09_N02.09.tar', 'S2A_OPER_MSI_L0__GR_VGS2_20201129T180308_S20201129T145305_D10_N02.09.tar', 'S2A_OPER_MSI_L0__GR_VGS2_20201129T180308_S20201129T145309_D09_N02.09.tar', 'S2A_OPER_MSI_L0__GR_VGS2_20201129T180308_S20201129T145309_D10_N02.09.tar', 'S2A_OPER_MSI_L0__GR_VGS2_20201129T180308_S20201129T145312_D09_N02.09.tar']",['S2B_MSIL1C_20210729T142729_N0301_R053_T19HBV_20210729T175045']
15,non_eruption,Chillan_Nevados_de_02,2020-11-29 00:00:00,2020-11-29 23:59:59,S2A,-71.37834332275449,-36.866212959359814,"POLYGON((-71.43451006509395 -36.9923527391157,-71.43432568682591 -36.74004404092545,-71.32236095868306 -36.74004404092545,-71.32217658041503 -36.9923527391157,-71.43451006509395 -36.9923527391157))",15,"['S2A_OPER_MSI_L0__GR_VGS2_20201129T180308_S20201129T145301_D10_N02.09.tar', 'S2A_OPER_MSI_L0__GR_VGS2_20201129T180308_S20201129T145305_D09_N02.09.tar', 'S2A_OPER_MSI_L0__GR_VGS2_20201129T180308_S20201129T145305_D10_N02.09.tar', 'S2A_OPER_MSI_L0__GR_VGS2_20201129T180308_S20201129T145309_D09_N02.09.tar', 'S2A_OPER_MSI_L0__GR_VGS2_20201129T180308_S20201129T145309_D10_N02.09.tar', 'S2A_OPER_MSI_L0__GR_VGS2_20201129T180308_S20201129T145312_D09_N02.09.tar']",['S2A_MSIL1C_20201129T143731_N0209_R096_T19HBV_20201129T180955']
16,eruption,Copahue_00,2021-07-02 00:00:00,2021-07-02 23:59:59,S2A,-71.16034011150892,-37.85597290096774,"POLYGON((-71.21725279307103 -37.98209102829352,-71.21705917567071 -37.72982465154651,-71.10362104734712 -37.72982465154651,-71.10342742994681 -37.98209102829352,-71.21725279307103 -37.98209102829352))",16,"['S2A_OPER_MSI_L0__GR_SGS__20200702T174721_S20200702T145324_D11_N02.09.tar', 'S2A_OPER_MSI_L0__GR_SGS__20200702T174721_S20200702T145324_D12_N02.09.tar', 'S2A_OPER_MSI_L0__GR_SGS__20200702T174721_S20200702T145328_D11_N02.09.tar', 'S2A_OPER_MSI_L0__GR_SGS__20200702T174721_S20200702T145328_D12_N02.09.tar', 'S2A_OPER_MSI_L0__GR_SGS__20200702T174721_S20200702T145332_D11_N02.09.tar']","['S2B_MSIL1C_20210702T143729_N0301_R096_T19HBU_20210702T180515', 'S2B_MSIL1C_20210702T143729_N0301_R096_T19HCT_20210702T180515', 'S2B_MSIL1C_20210702T143729_N0301_R096_T19HCU_20210702T180515', 'S2B_MSIL1C_20210702T143729_N0301_R096_T19HBT_20210702T180515']"
17,non_eruption,Copahue_00,2020-07-02 00:00:00,2020-07-02 23:59:59,S2A,-71.16034011150892,-37.85597290096774,"POLYGON((-71.21725279307103 -37.98209102829352,-71.21705917567071 -37.72982465154651,-71.10362104734712 -37.72982465154651,-71.10342742994681 -37.98209102829352,-71.21725279307103 -37.98209102829352))",17,"['S2A_OPER_MSI_L0__GR_SGS__20200702T174721_S20200702T145324_D11_N02.09.tar', 'S2A_OPER_MSI_L0__GR_SGS__20200702T174721_S20200702T145324_D12_N02.09.tar', 'S2A_OPER_MSI_L0__GR_SGS__20200702T174721_S20200702T145328_D11_N02.09.tar', 'S2A_OPER_MSI_L0__GR_SGS__20200702T174721_S20200702T145328_D12_N02.09.tar', 'S2A_OPER_MSI_L0__GR_SGS__20200702T174721_S20200702T145332_D11_N02.09.tar']","['S2A_MSIL1C_20200702T143731_N0209_R096_T19HCU_20200702T180320', 'S2A_MSIL1C_20200702T143731_N0209_R096_T19HCT_20200702T180320', 'S2A_MSIL1C_20200702T143731_N0209_R096_T19HBU_20200702T180320', 'S2A_MSIL1C_20200702T143731_N0209_R096_T19HBT_20200702T180320']"
18,non_eruption,Copahue_01,2020-10-07 00:00:00,2020-10-07 23:59:59,S2A,-71.16034011150892,-37.85597290096774,"POLYGON((-71.21725279307103 -37.98209102829352,-71.21705917567071 -37.72982465154651,-71.10362104734712 -37.72982465154651,-71.10342742994681 -37.98209102829352,-71.21725279307103 -37.98209102829352))",18,"['S2B_OPER_MSI_L0__GR_VGS1_20211007T174925_S20211007T144320_D02_N03.01.tar', 'S2B_OPER_MSI_L0__GR_VGS1_20211007T174925_S20211007T144323_D02_N03.01.tar', 'S2B_OPER_MSI_L0__GR_VGS1_20211007T174925_S20211007T144323_D03_N03.01.tar', 'S2B_OPER_MSI_L0__GR_VGS1_20211007T174925_S20211007T144327_D02_N03.01.tar', 'S2B_OPER_MSI_L0__GR_VGS1_20211007T174925_S20211007T144327_D03_N03.01.tar', 'S2B_OPER_MSI_L0__GR_VGS1_20211007T174925_S20211007T144331_D03_N03.01.tar']","['S2A_MSIL1C_20201007T142741_N0209_R053_T19HCU_20201007T181041', 'S2A_MSIL1C_20201007T142741_N0209_R053_T19HCT_20201007T181041', 'S2A_MSIL1C_20201007T142741_N0209_R053_T19HBT_20201007T181041', 'S2A_MSIL1C_20201007T142741_N0209_R053_T19HBU_20201007T181041']"
19,eruption,Copahue_01,2021-10-07 00:00:00,2021-10-07 23:59:59,S2B,-71.16034011150892,-37.85597290096774,"POLYGON((-71.21725279307103 -37.98209102829352,-71.21705917567071 -37.72982465154651,-71.10362104734712 -37.72982465154651,-71.10342742994681 -37.98209102829352,-71.21725279307103 -37.98209102829352))",19,"['S2B_OPER_MSI_L0__GR_VGS1_20211007T174925_S20211007T144320_D02_N03.01.tar', 'S2B_OPER_MSI_L0__GR_VGS1_20211007T174925_S20211007T144323_D02_N03.01.tar', 'S2B_OPER_MSI_L0__GR_VGS1_20211007T174925_S20211007T144323_D03_N03.01.tar', 'S2B_OPER_MSI_L0__GR_VGS1_20211007T174925_S20211007T144327_D02_N03.01.tar', 'S2B_OPER_MSI_L0__GR_VGS1_20211007T174925_S20211007T144327_D03_N03.01.tar', 'S2B_OPER_MSI_L0__GR_VGS1_20211007T174925_S20211007T144331_D03_N03.01.tar']","['S2B_MSIL1C_20211007T142729_N0301_R053_T19HBU_20211007T175449', 'S2B_MSIL1C_20211007T142729_N0301_R053_T19HCU_20211007T175449', 'S2B_MSIL1C_20211007T142729_N0301_R053_T19HBT_20211007T175449', 'S2B_MSIL1C_20211007T142729_N0301_R053_T19HCT_20211007T175449']"
20,eruption,Copahue_10,2020-09-20 14:43:00,2020-09-20 14:43:23,S2B,-71.16034011150892,-37.85597290096774,"POLYGON((-71.21725279307103 -37.98209102829352,-71.21705917567071 -37.72982465154651,-71.10362104734712 -37.72982465154651,-71.10342742994681 -37.98209102829352,-71.21725279307103 -37.98209102829352))",20,"['S2A_OPER_MSI_L0__GR_SGS__20190916T174613_S20190916T145317_D12_N02.08.tar', 'S2A_OPER_MSI_L0__GR_SGS__20190916T174613_S20190916T145320_D11_N02.08.tar', 'S2A_OPER_MSI_L0__GR_SGS__20190916T174613_S20190916T145320_D12_N02.08.tar', 'S2A_OPER_MSI_L0__GR_SGS__20190916T174613_S20190916T145324_D11_N02.08.tar', 'S2A_OPER_MSI_L0__GR_SGS__20190916T174613_S20190916T145328_D11_N02.08.tar']",[]
21,non_eruption,Copahue_10,2019-09-16 14:43:00,2019-09-16 14:43:23,S2A,-71.16034011150892,-37.85597290096774,"POLYGON((-71.21725279307103 -37.98209102829352,-71.21705917567071 -37.72982465154651,-71.10362104734712 -37.72982465154651,-71.10342742994681 -37.98209102829352,-71.21725279307103 -37.98209102829352))",21,"['S2A_OPER_MSI_L0__GR_SGS__20190916T174613_S20190916T145317_D12_N02.08.tar', 'S2A_OPER_MSI_L0__GR_SGS__20190916T174613_S20190916T145320_D11_N02.08.tar', 'S2A_OPER_MSI_L0__GR_SGS__20190916T174613_S20190916T145320_D12_N02.08.tar', 'S2A_OPER_MSI_L0__GR_SGS__20190916T174613_S20190916T145324_D11_N02.08.tar', 'S2A_OPER_MSI_L0__GR_SGS__20190916T174613_S20190916T145328_D11_N02.08.tar']",[]
22,eruption,Copahue_20,2019-10-13 00:00:00,2019-10-13 23:59:59,S2A,-71.16034011150892,-37.85597290096774,"POLYGON((-71.21725279307103 -37.98209102829352,-71.21705917567071 -37.72982465154651,-71.10362104734712 -37.72982465154651,-71.10342742994681 -37.98209102829352,-71.21725279307103 -37.98209102829352))",22,"['S2B_OPER_MSI_L0__GR_SGS__20181013T191654_S20181013T144316_D02_N02.06.tar', 'S2B_OPER_MSI_L0__GR_SGS__20181013T191654_S20181013T144320_D02_N02.06.tar', 'S2B_OPER_MSI_L0__GR_SGS__20181013T191654_S20181013T144320_D03_N02.06.tar', 'S2B_OPER_MSI_L0__GR_SGS__20181013T191654_S20181013T144323_D02_N02.06.tar', 'S2B_OPER_MSI_L0__GR_SGS__20181013T191654_S20181013T144323_D03_N02.06.tar', 'S2B_OPER_MSI_L0__GR_SGS__20181013T191654_S20181013T144327_D03_N02.06.tar']","['S2A_MSIL1C_20191013T142731_N0208_R053_T19HCT_20191013T174904', 'S2A_MSIL1C_20191013T142731_N0208_R053_T19HCU_20191013T174904', 'S2A_MSIL1C_20191013T142731_N0208_R053_T19HBU_20191013T174904', 'S2A_MSIL1C_20191013T142731_N0208_R053_T19HBT_20191013T174904']"
23,non_eruption,Copahue_20,2018-10-13 00:00:00,2018-10-13 23:59:59,S2B,-71.16034011150892,-37.85597290096774,"POLYGON((-71.21725279307103 -37.98209102829352,-71.21705917567071 -37.72982465154651,-71.10362104734712 -37.72982465154651,-71.10342742994681 -37.98209102829352,-71.21725279307103 -37.98209102829352))",23,"['S2B_OPER_MSI_L0__GR_SGS__20181013T191654_S20181013T144316_D02_N02.06.tar', 'S2B_OPER_MSI_L0__GR_SGS__20181013T191654_S20181013T144320_D02_N02.06.tar', 'S2B_OPER_MSI_L0__GR_SGS__20181013T191654_S20181013T144320_D03_N02.06.tar', 'S2B_OPER_MSI_L0__GR_SGS__20181013T191654_S20181013T144323_D02_N02.06.tar', 'S2B_OPER_MSI_L0__GR_SGS__20181013T191654_S20181013T144323_D03_N02.06.tar', 'S2B_OPER_MSI_L0__GR_SGS__20181013T191654_S20181013T144327_D03_N02.06.tar']","['S2B_MSIL1C_20181013T142749_N0206_R053_T19HCT_20181013T193559', 'S2B_MSIL1C_20181013T142749_N0206_R053_T19HCU_20181013T193559', 'S2B_MSIL1C_20181013T142749_N0206_R053_T19HBT_20181013T193559', 'S2B_MSIL1C_20181013T142749_N0206_R053_T19HBU_20181013T193559']"
24,non_eruption,Copahue_21,2018-10-06 00:00:00,2018-10-06 23:59:59,S2B,-71.16034011150892,-37.85597290096774,"POLYGON((-71.21725279307103 -37.98209102829352,-71.21705917567071 -37.72982465154651,-71.10362104734712 -37.72982465154651,-71.10342742994681 -37.98209102829352,-71.21725279307103 -37.98209102829352))",24,"['S2B_OPER_MSI_L0__GR_EPAE_20181006T205046_S20181006T145313_D12_N02.06.tar', 'S2B_OPER_MSI_L0__GR_EPAE_20181006T205046_S20181006T145316_D11_N02.06.tar', 'S2B_OPER_MSI_L0__GR_EPAE_20181006T205046_S20181006T145316_D12_N02.06.tar', 'S2B_OPER_MSI_L0__GR_EPAE_20181006T205046_S20181006T145320_D11_N02.06.tar', 'S2B_OPER_MSI_L0__GR_EPAE_20181006T205046_S20181006T145320_D12_N02.06.tar', 'S2B_OPER_MSI_L0__GR_EPAE_20181006T205046_S20181006T145324_D11_N02.06.tar']","['S2B_MSIL1C_20181006T143739_N0206_R096_T19HCU_20181006T210246', 'S2B_MSIL1C_20181006T143739_N0206_R096_T19HCT_20181006T210246', 'S2B_MSIL1C_20181006T143739_N0206_R096_T19HBU_20181006T210246', 'S2B_MSIL1C_20181006T143739_N0206_R096_T19HBT_20181006T210246']"
25,eruption,Copahue_21,2019-11-12 00:00:00,2019-11-12 23:59:59,S2A,-71.16034011150892,-37.85597290096774,"POLYGON((-71.21725279307103 -37.98209102829352,-71.21705917567071 -37.72982465154651,-71.10362104734712 -37.72982465154651,-71.10342742994681 -37.98209102829352,-71.21725279307103 -37.98209102829352))",25,"['S2B_OPER_MSI_L0__GR_EPAE_20181006T205046_S20181006T145313_D12_N02.06.tar', 'S2B_OPER_MSI_L0__GR_EPAE_20181006T205046_S20181006T145316_D11_N02.06.tar', 'S2B_OPER_MSI_L0__GR_EPAE_20181006T205046_S20181006T145316_D12_N02.06.tar', 'S2B_OPER_MSI_L0__GR_EPAE_20181006T205046_S20181006T145320_D11_N02.06.tar', 'S2B_OPER_MSI_L0__GR_EPAE_20181006T205046_S20181006T145320_D12_N02.06.tar', 'S2B_OPER_MSI_L0__GR_EPAE_20181006T205046_S20181006T145324_D11_N02.06.tar']","['S2A_MSIL1C_20191112T142731_N0208_R053_T19HCT_20191112T174933', 'S2A_MSIL1C_20191112T142731_N0208_R053_T19HCU_20191112T174933', 'S2A_MSIL1C_20191112T142731_N0208_R053_T19HBT_20191112T174933', 'S2A_MSIL1C_20191112T142731_N0208_R053_T19HBU_20191112T174933']"
26,non_eruption,Copahue_30,2016-09-21 00:00:00,2016-09-21 23:59:59,S2A,-71.16034011150892,-37.85597290096774,"POLYGON((-71.21725279307103 -37.98209102829352,-71.21705917567071 -37.72982465154651,-71.10362104734712 -37.72982465154651,-71.10342742994681 -37.98209102829352,-71.21725279307103 -37.98209102829352))",26,"['S2A_OPER_MSI_L0__GR_MTI__20160921T205924_S20160921T145312_D12_N02.04.tar', 'S2A_OPER_MSI_L0__GR_MTI__20160921T205924_S20160921T145315_D11_N02.04.tar', 'S2A_OPER_MSI_L0__GR_MTI__20160921T205924_S20160921T145315_D12_N02.04.tar', 'S2A_OPER_MSI_L0__GR_MTI__20160921T205924_S20160921T145319_D11_N02.04.tar', 'S2A_OPER_MSI_L0__GR_MTI__20160921T205924_S20160921T145319_D12_N02.04.tar', 'S2A_OPER_MSI_L0__GR_MTI__20160921T205924_S20160921T145323_D11_N02.04.tar']","['S2A_MSIL1C_20160921T143742_N0204_R096_T19HCU_20160921T144946', 'S2A_MSIL1C_20160921T143742_N0204_R096_T19HBU_20160921T144946', 'S2A_MSIL1C_20160921T143742_N0204_R096_T19HCT_20160921T144946', 'S2A_MSIL1C_20160921T143742_N0204_R096_T19HBT_20160921T144946']"
