ID_event,granule_couple,coordinates,sensing_time,detector_number,N_v,N_h,N_eff,Keypoints
Karangetang_01,"[3, 4]",[  2.79198224 125.46834444],2018-11-30 02:06:43,3,-176.0,-0.0,176.0,39
Karangetang_01,"[4, 5]",[  2.57792221 125.42124133],2018-11-30 02:06:46,3,-176.0,-0.0,176.0,15
Karangetang_02,"[3, 4]",[  2.77592269 125.47302095],2018-12-15 02:06:39,3,-176.0,-11.0,176.34341,5
Krakatau_00,"[0, 1]",[ -6.06351319 105.43402426],2021-08-07 03:19:48,1,-182.0,0.0,182.0,24
Krakatau_00,"[1, 2]",[ -6.27736875 105.38611108],2021-08-07 03:19:52,1,-188.0,0.0,188.0,3
Krakatau_01,"[0, 1]",[ -6.08339856 105.42777528],2021-09-21 03:19:50,1,-180.0,-10.0,180.27756,4
Krysuvik-Trolladyngja_00,"[0, 1]",[ 63.9298231  -22.38935457],2021-03-23 13:13:57,8,185.0,1.0,185.0027,103
Krysuvik-Trolladyngja_00,"[1, 3]",[ 63.72866211 -22.57336526],2021-03-23 13:14:01,8,185.0,2.0,185.0108,292
Krysuvik-Trolladyngja_00,"[2, 4]",[ 63.89986876 -21.8858321 ],2021-03-23 13:14:01,9,-180.0,-2.0,180.01111,59
Krysuvik-Trolladyngja_00,"[4, 5]",[ 63.69922256 -22.07361603],2021-03-23 13:14:05,9,-180.0,-2.0,180.01111,43
Krysuvik-Trolladyngja_01,"[0, 1]",[ 63.92986978 -22.39151881],2021-04-02 13:13:56,8,186.0,2.0,186.01076,175
Krysuvik-Trolladyngja_01,"[1, 3]",[ 63.72863251 -22.57578547],2021-04-02 13:14:00,8,186.0,2.0,186.01076,31
Krysuvik-Trolladyngja_01,"[2, 4]",[ 63.89987441 -21.88828066],2021-04-02 13:14:00,9,-180.0,-2.0,180.01111,77
Krysuvik-Trolladyngja_02,"[0, 2]",[ 63.88283381 -22.01839545],2021-04-19 13:03:55,4,186.0,-5.0,186.0672,298
Krysuvik-Trolladyngja_02,"[1, 3]",[ 64.00994644 -22.44049112],2021-04-19 13:03:59,3,-182.0,-2.0,182.01099,427
Krysuvik-Trolladyngja_02,"[2, 4]",[ 63.67947647 -22.1867907 ],2021-04-19 13:03:59,4,186.0,-5.0,186.0672,471
Krysuvik-Trolladyngja_02,"[3, 5]",[ 63.80615319 -22.60640091],2021-04-19 13:04:03,3,-182.0,-2.0,182.01099,416
Krysuvik-Trolladyngja_03,"[0, 2]",[ 63.89241092 -22.01381064],2021-08-07 13:04:01,4,186.0,-6.0,186.09676,131
Krysuvik-Trolladyngja_03,"[1, 3]",[ 64.01957227 -22.43575772],2021-08-07 13:04:05,3,-182.0,-1.0,182.00275,124
Krysuvik-Trolladyngja_03,"[2, 4]",[ 63.68910082 -22.18227277],2021-08-07 13:04:05,4,186.0,-6.0,186.09676,165
Krysuvik-Trolladyngja_03,"[3, 5]",[ 63.81578639 -22.60189428],2021-08-07 13:04:09,3,-181.0,-1.0,181.00276,198
La_Palma_00,"[0, 2]",[ 28.71915298 -17.80297272],2021-09-20 12:03:33,10,184.0,-6.0,184.0978,292
La_Palma_00,"[1, 3]",[ 28.83321995 -18.0287129 ],2021-09-20 12:03:37,9,-179.0,-12.0,179.40178,243
La_Palma_00,"[2, 4]",[ 28.50664309 -17.8615473 ],2021-09-20 12:03:37,10,184.0,-6.0,184.0978,243
La_Palma_02,"[0, 1]",[ 28.7623614  -17.79747134],2021-09-30 12:03:34,10,185.0,-5.0,185.06755,18
La_Palma_02,"[1, 3]",[ 28.54970515 -17.85575985],2021-09-30 12:03:38,10,185.0,-6.0,185.09727,4
Mayon_00,"[2, 4]",[ 13.13802361 123.63355431],2018-01-20 02:23:50,7,-175.0,1.0,175.00285,8
Mayon_01,"[0, 1]",[ 13.32038554 123.67650837],2018-01-30 02:23:48,7,-174.0,-0.0,174.0,26
Mayon_02,"[0, 1]",[ 13.37346926 123.68979356],2018-02-09 02:23:47,7,-178.0,-3.0,178.02528,9
Mayon_02,"[1, 2]",[ 13.15949385 123.64079449],2018-02-09 02:23:50,7,-176.0,-1.0,176.00284,2
Nyamulagira_00,"[1, 3]",[-1.53287979 29.08130318],2018-04-18 08:30:32,4,183.0,-5.0,183.0683,77
Nyamulagira_00,"[2, 4]",[-1.30693364 29.35306001],2018-04-18 08:30:32,5,-176.0,-0.0,176.0,32
Nyamulagira_00,"[4, 5]",[-1.52090327 29.30573071],2018-04-18 08:30:36,5,-177.0,-1.0,177.00282,69
Nyamulagira_01,"[0, 1]",[-1.33677215 29.1268529 ],2021-08-25 08:30:33,4,183.0,-17.0,183.78792,160
Nyamulagira_01,"[2, 4]",[-1.32463229 29.35155384],2021-08-25 08:30:36,5,-179.0,-12.0,179.40178,20
Nyamulagira_01,"[4, 5]",[-1.53836728 29.30424967],2021-08-25 08:30:40,5,-179.0,-11.0,179.33768,46
Nyamulagira_02,"[2, 4]",[-1.33164442 29.34104399],2022-03-13 08:30:39,5,-176.0,-11.0,176.34341,20
Piton_de_la_Fournaise_00,"[0, 1]",[-21.19888873  55.71103266],2022-01-01 06:35:09,8,185.0,1.0,185.0027,78
Piton_de_la_Fournaise_00,"[1, 2]",[-21.41203161  55.65953509],2022-01-01 06:35:12,8,183.0,2.0,183.01093,66
Piton_de_la_Fournaise_01,"[0, 1]",[-21.16440425  55.72028689],2022-01-06 06:35:14,8,184.0,-8.0,184.17383,113
Piton_de_la_Fournaise_01,"[1, 2]",[-21.37733188  55.66887883],2022-01-06 06:35:17,8,184.0,-8.0,184.17383,141
Piton_de_la_Fournaise_02,"[0, 1]",[-21.22000477  55.71203741],2022-01-16 06:35:14,8,181.0,-7.0,181.13531,4
Piton_de_la_Fournaise_02,"[1, 2]",[-21.43289723  55.6605763 ],2022-01-16 06:35:17,8,181.0,-8.0,181.17671,22
Piton_de_la_Fournaise_10,"[0, 1]",[-21.15977128  55.73663995],2021-04-16 06:35:08,8,185.0,2.0,185.0108,319
Piton_de_la_Fournaise_10,"[1, 2]",[-21.37271282  55.68512476],2021-04-16 06:35:11,8,184.0,2.0,184.01086,322
Piton_de_la_Fournaise_11,"[0, 1]",[-21.2007861   55.72599583],2021-04-26 06:35:08,8,183.0,2.0,183.01093,39
Piton_de_la_Fournaise_11,"[1, 2]",[-21.41375029  55.67446276],2021-04-26 06:35:11,8,183.0,3.0,183.02458,32
Piton_de_la_Fournaise_12,"[4, 0]",[-21.38901503  55.6694776 ],2021-05-11 06:35:15,8,185.0,-9.0,185.2188,15
Piton_de_la_Fournaise_12,"[3, 4]",[-21.17589696  55.72091337],2021-05-11 06:35:12,8,185.0,-9.0,185.2188,10
Piton_de_la_Fournaise_12,"[4, 5]",[-21.38901515  55.66947756],2021-05-11 06:35:15,8,185.0,-9.0,185.2188,15
Piton_de_la_Fournaise_30,"[0, 1]",[-21.20206693  55.72219633],2020-02-11 06:35:08,8,185.0,0.0,185.0,120
Piton_de_la_Fournaise_30,"[1, 2]",[-21.41513498  55.67066693],2020-02-11 06:35:11,8,185.0,0.0,185.0,15
Piton_de_la_Fournaise_31,"[0, 1]",[-21.20117871  55.71554357],2020-04-06 06:35:10,8,184.0,-10.0,184.27155,201
Piton_de_la_Fournaise_31,"[1, 2]",[-21.41445917  55.66422128],2020-04-06 06:35:13,8,184.0,-10.0,184.27155,79
Piton_de_la_Fournaise_32,"[0, 1]",[-21.18916147  55.72399576],2020-12-07 06:35:11,8,184.0,-0.0,184.0,81
Poas_10,"[0, 2]",[ 10.24315557 -84.11893978],2019-03-22 16:10:28,4,183.0,-4.0,183.04372,20
Poas_10,"[1, 3]",[ 10.34130049 -84.32160802],2019-03-22 16:10:32,3,-179.0,-0.0,179.0,146
Poas_10,"[2, 4]",[ 10.02919537 -84.16632734],2019-03-22 16:10:32,4,183.0,-5.0,183.0683,9
Poas_10,"[3, 5]",[ 10.1272852  -84.36933671],2019-03-22 16:10:36,3,-180.0,-1.0,180.00278,116
Poas_11,"[0, 2]",[ 10.27732413 -84.11491882],2019-04-01 16:10:30,4,184.0,-6.0,184.0978,110
Poas_11,"[1, 3]",[ 10.37541491 -84.31757304],2019-04-01 16:10:34,3,-179.0,-0.0,179.0,17
Poas_11,"[2, 4]",[ 10.06326909 -84.16261163],2019-04-01 16:10:34,4,184.0,-4.0,184.04347,8
Poas_11,"[3, 5]",[ 10.16140729 -84.36516491],2019-04-01 16:10:38,3,-179.0,-0.0,179.0,106
Raung_10,"[0, 2]",[ -8.11818979 114.10203548],2020-07-19 02:50:04,8,182.0,-10.0,182.27452,167
Raung_10,"[1, 3]",[ -8.01333995 113.90304225],2020-07-19 02:50:08,7,-178.0,-11.0,178.33957,101
Raung_10,"[2, 4]",[ -8.33224975 114.05457591],2020-07-19 02:50:08,8,182.0,-10.0,182.27452,362
Raung_11,"[2, 4]",[ -8.32797797 114.06569552],2020-07-24 02:50:05,8,184.0,-0.0,184.0,7
Raung_12,"[0, 1]",[ -7.92321204 114.14302665],2020-07-29 02:50:02,8,183.0,-9.0,183.22118,106
Raung_12,"[1, 3]",[ -8.13700409 114.09548975],2020-07-29 02:50:05,8,183.0,-9.0,183.22118,268
Sangay_00,"[4, 0]",[ -2.17019346 -78.42923517],2019-05-17 15:43:46,8,182.0,-9.0,182.2224,226
Sangay_00,"[3, 4]",[ -1.95627926 -78.3821054 ],2019-05-17 15:43:42,8,182.0,-9.0,182.2224,286
Sangay_00,"[4, 5]",[ -2.17019722 -78.42923604],2019-05-17 15:43:46,8,182.0,-9.0,182.2224,226
Sangay_01,"[0, 1]",[ -1.96515802 -78.38601564],2021-07-05 15:43:41,8,183.0,-9.0,183.22118,163
Sangay_01,"[1, 2]",[ -2.17903341 -78.43308359],2021-07-05 15:43:45,8,182.0,-9.0,182.2224,145
Sangay_01,"[3, 4]",[ -2.17376167 -78.21141915],2021-07-05 15:43:48,9,-179.0,-12.0,179.40178,123
Sangay_10,"[0, 1]",[ -1.96108206 -78.36887646],2018-08-25 15:43:30,8,183.0,-0.0,183.0,372
Sangay_10,"[1, 2]",[ -2.17525365 -78.41589911],2018-08-25 15:43:34,8,183.0,-0.0,183.0,338
Sangay_10,"[3, 4]",[ -2.17021532 -78.19432073],2018-08-25 15:43:37,9,-178.0,-2.0,178.01123,228
Sangay_11,"[0, 1]",[ -1.97046566 -78.39192652],2018-10-29 15:43:35,8,182.0,-10.0,182.27452,183
Sangay_11,"[1, 3]",[ -2.18455948 -78.43883932],2018-10-29 15:43:39,8,182.0,-10.0,182.27452,176
Sangay_11,"[2, 4]",[ -1.96535533 -78.17036183],2018-10-29 15:43:39,9,-179.0,-11.0,179.33768,48
Sangay_11,"[4, 5]",[ -2.17923411 -78.21710115],2018-10-29 15:43:42,9,-179.0,-11.0,179.33768,122
Sangay_12,"[0, 1]",[ -1.96954722 -78.39558162],2018-11-13 15:43:36,8,183.0,1.0,183.00273,354
Sangay_12,"[1, 3]",[ -2.18377073 -78.44261762],2018-11-13 15:43:40,8,183.0,0.0,183.0,372
Sangay_12,"[2, 4]",[ -1.96471855 -78.17425215],2018-11-13 15:43:40,9,-178.0,-2.0,178.01123,115
Sangay_12,"[4, 5]",[ -2.17881614 -78.22108722],2018-11-13 15:43:43,9,-178.0,-2.0,178.01123,148
Sangay_31,"[0, 1]",[ -1.95561593 -78.37545828],2017-09-19 15:43:27,8,183.0,0.0,183.0,226
Sangay_31,"[1, 2]",[ -2.16956404 -78.42242787],2017-09-19 15:43:30,8,183.0,-0.0,183.0,211
Sangay_31,"[3, 4]",[ -2.16443411 -78.20079947],2017-09-19 15:43:34,9,-178.0,-2.0,178.01123,44
Santa_Maria_00,"[0, 1]",[ 14.75130148 -91.590998  ],2021-02-16 16:49:27,11,-180.0,-14.0,180.54362,126
Soputan_10,"[0, 1]",[  1.24327508 124.90207689],2018-10-11 02:07:05,2,183.0,-10.0,183.27303,6
Soputan_10,"[1, 3]",[  1.02911404 124.85540351],2018-10-11 02:07:09,2,182.0,-11.0,182.3321,43
Soputan_10,"[2, 4]",[  1.12836675 124.64948512],2018-10-11 02:07:12,1,-179.0,-0.0,179.0,19
Stromboli_02,"[0, 2]",[38.94867134 15.20758032],2019-01-08 09:59:47,9,-180.0,-11.0,180.3358,31
Telica_02,"[0, 1]",[ 12.73286713 -86.77501392],2021-09-20 16:19:55,1,-180.0,1.0,180.00278,108
Telica_10,"[0, 1]",[ 12.66084815 -86.7959363 ],2020-08-01 16:20:04,1,-183.0,-10.0,183.27303,45
Telica_10,"[1, 2]",[ 12.44681265 -86.84362275],2020-08-01 16:20:08,1,-183.0,-10.0,183.27303,115
Tinakula_00,"[1, 2]",[-10.47801412 165.76931147],2019-01-02 23:19:12,5,-176.0,-11.0,176.34341,10
Tinakula_02,"[1, 2]",[-10.43557602 165.7775    ],2021-12-22 23:19:12,5,-178.0,-7.0,178.13759,5
Ulawun_10,"[1, 3]",[ -5.20479819 151.17256248],2021-07-09 00:18:14,2,184.0,-23.0,185.43193,13
Ulawun_10,"[4, 5]",[ -5.1876494  151.40542014],2021-07-09 00:18:18,3,-181.0,-12.0,181.39735,10
Ulawun_20,"[0, 1]",[ -5.00821116 151.21427628],2019-08-14 00:18:15,2,186.0,-10.0,186.26862,27
Ulawun_20,"[1, 3]",[ -5.22208568 151.1671049 ],2019-08-14 00:18:18,2,184.0,-8.0,184.17383,3
Ulawun_20,"[2, 4]",[ -4.99125892 151.44771209],2019-08-14 00:18:18,3,-181.0,1.0,181.00276,5
Ulawun_20,"[4, 5]",[ -5.20503122 151.39980566],2019-08-14 00:18:22,3,-180.0,-1.0,180.00278,4
Ulawun_21,"[0, 1]",[ -5.0020473  151.22377205],2019-10-03 00:18:09,2,183.0,-12.0,183.39302,21
Ulawun_21,"[2, 4]",[ -4.9850616  151.45706983],2019-10-03 00:18:12,3,-177.0,0.0,177.0,48
